Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.840359211,2.316552,-0.3875423,-0.3867208,-0.4945322,0.01406377,0.8947006,1.68704,7.578029,17.42062,1000.253
0.860426903,0.2687398,-4.796871,-0.5710136,-0.4482623,0.01107354,0.8915537,2.040701,8.709501,17.42601,1000.253
0.880495548,0.5790143,-2.353864,-0.01813522,-0.4517455,-0.01176718,0.8855985,2.040701,8.709501,17.42601,1000.257
0.898055077,2.316552,1.221267,1.763362,-0.4729337,-0.02383878,0.885816,2.047329,8.335268,16.97159,1000.257
0.918123722,3.495595,1.697951,4.159168,-0.4598453,-0.02150248,0.8761544,2.047329,8.335268,16.97159,1000.26
0.938192368,2.440661,-1.102569,5.326356,-0.4760377,0.0135076,0.8897806,2.047329,8.335268,16.97159,1000.26
0.958260059,1.137508,-2.94972,4.220599,-0.4968398,0.03433589,0.90254,2.055471,7.957812,17.42275,1000.262
0.978328228,0.8272339,-4.201016,3.729152,-0.4786377,0.02305243,0.8987718,2.055471,7.957812,17.42275,1000.262
0.998396873,0.7031241,-5.452312,2.746257,-0.4729806,0.03295835,0.8941896,2.063614,7.580353,17.87392,1000.266
1.018465042,-0.2276995,-4.498943,0.5347431,-0.4599102,0.03627446,0.8840715,2.063614,7.580353,17.87392,1000.266
1.038533688,-2.213456,-3.60516,-1.308185,-0.4595138,-0.03963245,0.8848422,2.063614,7.580353,17.87392,1000.266
1.058601856,-1.220578,-3.068891,-1.00103,-0.4413885,0.007091494,0.87399,2.432045,7.960136,17.87605,1000.268
1.078670025,-0.7241387,-1.460082,-0.2638589,-0.4590852,0.01769704,0.8908086,2.432045,7.960136,17.87605,1000.268
1.098738194,-1.158523,0.6254116,0.2275885,-0.4373658,0.05353226,0.8646304,2.416517,8.713438,17.42651,1000.268
1.118806839,-0.2276995,-0.68547,0.2275885,-0.4497195,0.01037901,0.8716902,2.416517,8.713438,17.42651,1000.268
1.138875008,0.3928496,0.5062405,0.9033287,-0.4658992,0.01767518,0.8840535,2.416517,8.713438,17.42651,1000.271
1.158943653,-0.04153477,3.664273,1.701931,-0.4421719,0.02391298,0.8865683,2.432045,7.960136,17.87605,1000.271
1.179011345,-1.220578,5.03474,1.886224,-0.4359355,0.002023816,0.8936778,2.432045,7.960136,17.87605,1000.271
1.199079514,-3.516609,6.703135,0.9647596,-0.4212766,0.02463436,0.8647317,2.42466,8.335981,17.87768,1000.271
1.219148159,-5.254147,11.23164,2.561964,-0.5405084,0.02870455,0.9315782,2.42466,8.335981,17.87768,1000.272
1.239216805,-6.247025,9.622826,2.869119,-0.4509016,-0.004823689,0.8780448,2.42466,8.335981,17.87768,1000.272
1.259284973,-4.633598,12.78086,2.131948,-0.4608901,0.03671291,0.8860236,2.055471,7.957812,17.42275,1000.271
1.279353619,-3.082225,16.59433,0.4733122,-0.4607834,0.003380433,0.8705631,2.055471,7.957812,17.42275,1000.271
1.299421310,-0.7861937,15.28345,0.2890194,-0.469673,0.01122337,0.8877581,2.80786,7.964073,17.87655,1000.273
1.319489479,-0.1656446,16.47516,0.1047266,-0.481272,0.006743363,0.8804101,2.80786,7.964073,17.87655,1000.273
1.339558125,-1.034413,17.24977,2.31624,-0.4905804,-0.04325166,0.8930768,2.80786,7.964073,17.87655,1000.277
1.359626293,-5.502367,23.62542,17.24396,-0.2279311,-0.09163771,0.9692468,2.431288,7.961749,17.42325,1000.277
1.379694939,-7.488124,55.80161,28.24009,-0.3101678,-0.009237241,0.9858826,2.431288,7.961749,17.42325,1000.276
1.399762631,-13.07306,102.4571,18.04256,-0.4311035,0.0636639,1.099208,2.07564,6.894528,16.96534,1000.276
1.419831276,-23.93267,146.4312,11.83803,-0.3644543,0.03575814,1.063824,2.07564,6.894528,16.96534,1000.275
1.439899445,-36.9642,208.3405,19.45547,-0.3808918,0.005765259,1.159377,2.44342,7.275692,16.57936,1000.275
1.462476730,-23.37418,303.0815,53.79536,-0.3295866,-0.4339668,1.308543,2.44342,7.275692,16.57936,1000.278
1.480036259,42.09375,363.5013,28.97726,-0.4606189,-0.1867234,1.146496,2.44342,7.275692,16.57936,1000.278
1.500104904,42.40402,150.9597,-33.3137,-2.883914,-1.603295,2.492306,-0.4900246,6.502376,13.98478,1000.279
1.520172596,-14.06594,76.47778,-33.92801,0.7791859,-0.2739395,2.262481,-0.4900246,6.502376,13.98478,1000.279
1.540240765,-15.43115,-20.94455,-16.29733,0.9079719,-0.1949151,1.92925,-5.258034,3.153768,7.818875,1000.281
1.560309410,-13.63156,-100.0741,9.56509,0.5647418,-0.02120304,1.864623,-5.258034,3.153768,7.818875,1000.281
1.580378055,-6.309081,-162.6389,38.06904,0.273976,-0.09098581,1.624016,-5.258034,3.153768,7.818875,1000.284
1.600446224,-14.68649,-198.2711,52.62817,-0.06706768,-0.1757723,1.476112,-6.587433,-3.160184,-0.03739929,1000.284
1.620514870,-29.76583,-209.7115,53.36534,-0.3070723,-0.2519481,1.332461,-6.587433,-3.160184,-0.03739929,1000.285
1.638074398,-45.0934,-212.0353,41.14059,-0.5005161,-0.3449815,1.265152,-10.80088,-15.34827,-3.136227,1000.285
1.658142090,-53.03642,-211.0224,17.55111,-0.6446803,-0.3900046,1.267285,-10.80088,-15.34827,-3.136227,1000.287
1.678210735,-57.7526,-208.6389,-17.2188,-0.6766796,-0.316752,1.211358,-10.80088,-15.34827,-3.136227,1000.287
1.698278904,-50.80245,-205.3022,-51.92727,-0.7201951,-0.1160396,1.206011,-15.76779,-27.24024,-3.647284,1000.284
1.718347549,-43.16969,-198.3306,-62.55482,-0.7908671,0.1391655,1.389643,-15.76779,-27.24024,-3.647284,1000.284
1.738416195,-48.44436,-204.2892,-57.82464,-0.9238946,0.3156797,1.489945,-17.07501,-33.90149,-1.931498,1000.288
1.758484363,-50.55423,-210.8436,-45.78418,-0.8830158,0.2543515,1.255704,-17.07501,-33.90149,-1.931498,1000.288
1.778553009,-42.17682,-208.341,-30.54931,-1.075229,0.2251333,1.089971,-17.07501,-33.90149,-1.931498,1000.291
1.798620701,-40.06695,-195.5301,-28.89067,-1.17945,0.2197148,0.6844823,-13.04048,-34.99486,0.2682266,1000.291
1.818688869,-21.32637,-166.1545,-32.33081,-1.482554,0.2624378,0.2635975,-13.04048,-34.99486,0.2682266,1000.286
1.838757515,14.72753,-113.9576,-35.52522,-1.77432,0.2941917,-0.253006,-5.963715,-35.21849,-4.05765,1000.286
1.858825684,37.62579,-55.86166,-30.36502,-2.159636,0.3680146,-0.5168489,-5.963715,-35.21849,-4.05765,1000.288
1.878894329,41.41114,6.941477,-12.98006,-2.052167,0.3105534,-0.7328122,-5.963715,-35.21849,-4.05765,1000.288
1.898962498,38.68073,71.65135,2.623395,-2.042096,0.05936141,-0.3642264,-3.432716,-33.7322,-9.287497,1000.29
1.919031143,89.00726,290.2706,-20.72036,1.109206,-1.474745,-0.7274579,-3.432716,-33.7322,-9.287497,1000.29
1.939098835,29.68277,391.2085,-46.88994,-0.7943623,0.4553212,0.9492737,-2.678785,-34.08934,-12.32833,1000.287
1.959167480,-6.247025,278.4131,14.29527,-2.590626,1.028764,2.888646,-2.678785,-34.08934,-12.32833,1000.287
1.979235649,48.85773,159.5996,-16.85021,-2.170608,-1.447309,1.526007,-2.678785,-34.08934,-12.32833,1000.29
1.999304295,46.99609,96.61768,-3.64256,-0.2978039,0.76399,1.057914,2.963679,-41.03172,-16.75005,1000.29
2.019372463,61.26871,65.2757,11.59231,-1.126153,-0.2366727,1.286311,2.963679,-41.03172,-16.75005,1000.291
2.039441109,33.46812,35.06585,20.80695,-0.8912653,-0.01989089,1.139584,8.614258,-47.99137,-16.32038,1000.291
